x,0.4682,0.4681,0.4683,0.473,0.4732,0.4736,0.4737,0.4735,0.4735,0.4735,0.4735,0.4733,0.4734,0.4734,0.4734,0.4731,0.4732,0.4731
y,0.4121,0.4122,0.4124,0.4147,0.4148,0.4151,0.4154,0.4153,0.4152,0.4154,0.4154,0.4153,0.4156,0.4155,0.4155,0.4153,0.4153,0.4154
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
653,1.78628E-04,1.78635E-04,1.78378E-04,5.73820E-04,5.75551E-04,5.72681E-04,9.69326E-04,9.68945E-04,9.64790E-04,1.36255E-03,1.36714E-03,1.36007E-03,1.74679E-03,1.74431E-03,1.74699E-03,2.11782E-03,2.12058E-03,2.12031E-03
654,1.75715E-04,1.75914E-04,1.75819E-04,5.65867E-04,5.64842E-04,5.62929E-04,9.55041E-04,9.52822E-04,9.48117E-04,1.34178E-03,1.34594E-03,1.34095E-03,1.71894E-03,1.71342E-03,1.71987E-03,2.08414E-03,2.08696E-03,2.08101E-03
655,1.72775E-04,1.73363E-04,1.73638E-04,5.58789E-04,5.54423E-04,5.54567E-04,9.40127E-04,9.36202E-04,9.32178E-04,1.32021E-03,1.32219E-03,1.32125E-03,1.68887E-03,1.68241E-03,1.69028E-03,2.04985E-03,2.04959E-03,2.04150E-03
656,1.70123E-04,1.70494E-04,1.70890E-04,5.49478E-04,5.46245E-04,5.45440E-04,9.26048E-04,9.23497E-04,9.20027E-04,1.29880E-03,1.30069E-03,1.30044E-03,1.66222E-03,1.65872E-03,1.66424E-03,2.01759E-03,2.01562E-03,2.01189E-03
657,1.67599E-04,1.67497E-04,1.67625E-04,5.38688E-04,5.39352E-04,5.35994E-04,9.11719E-04,9.11948E-04,9.08946E-04,1.27761E-03,1.28091E-03,1.27823E-03,1.63675E-03,1.63739E-03,1.63944E-03,1.98569E-03,1.98462E-03,1.98691E-03
658,1.64997E-04,1.65073E-04,1.64619E-04,5.29677E-04,5.31966E-04,5.28514E-04,8.96017E-04,8.96637E-04,8.94655E-04,1.25766E-03,1.26111E-03,1.25609E-03,1.60860E-03,1.60980E-03,1.61168E-03,1.95297E-03,1.95455E-03,1.95639E-03
659,1.62060E-04,1.62917E-04,1.61969E-04,5.21596E-04,5.23118E-04,5.21653E-04,8.79304E-04,8.78963E-04,8.77424E-04,1.23752E-03,1.24011E-03,1.23435E-03,1.57936E-03,1.57834E-03,1.58228E-03,1.91988E-03,1.92277E-03,1.92101E-03
660,1.58740E-04,1.60410E-04,1.59553E-04,5.12196E-04,5.13015E-04,5.12983E-04,8.63527E-04,8.64179E-04,8.60742E-04,1.21598E-03,1.21841E-03,1.21392E-03,1.55449E-03,1.55216E-03,1.55664E-03,1.88937E-03,1.88879E-03,1.88866E-03
661,1.55351E-04,1.57348E-04,1.56902E-04,5.01538E-04,5.02607E-04,5.02754E-04,8.47853E-04,8.50948E-04,8.44654E-04,1.19245E-03,1.19544E-03,1.19275E-03,1.53026E-03,1.52868E-03,1.53142E-03,1.85772E-03,1.85311E-03,1.85702E-03
662,1.52494E-04,1.53964E-04,1.53633E-04,4.91418E-04,4.93583E-04,4.93066E-04,8.31262E-04,8.35778E-04,8.28454E-04,1.16823E-03,1.17158E-03,1.16906E-03,1.50076E-03,1.50161E-03,1.50132E-03,1.82071E-03,1.81856E-03,1.82131E-03
