x,0.4688,0.4687,0.4687,0.4738,0.4738,0.4737,0.4741,0.4742,0.474,0.474,0.4741,0.4741,0.474,0.474,0.474,0.4737,0.4738,0.4738,0.4737,0.4736,0.4735,0.4732,0.4733,0.4733,0.4731,0.4731,0.4731
y,0.4202,0.4202,0.4202,0.4228,0.4229,0.4228,0.4231,0.4233,0.4231,0.4232,0.4232,0.4233,0.4232,0.4233,0.4233,0.4232,0.4232,0.4232,0.4232,0.4231,0.4231,0.423,0.4229,0.423,0.4229,0.4229,0.4229
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
533,7.57418E-04,7.55544E-04,7.56127E-04,2.37005E-03,2.37317E-03,2.36791E-03,3.99981E-03,3.99951E-03,3.99926E-03,5.61982E-03,5.60948E-03,5.61766E-03,7.17474E-03,7.18128E-03,7.16420E-03,8.71981E-03,8.74085E-03,8.72115E-03,1.02809E-02,1.02619E-02,1.02786E-02,1.17310E-02,1.17591E-02,1.17627E-02,1.32660E-02,1.32410E-02,1.32328E-02
534,7.63685E-04,7.61116E-04,7.60899E-04,2.38632E-03,2.39012E-03,2.38379E-03,4.03046E-03,4.02574E-03,4.03010E-03,5.65701E-03,5.64938E-03,5.65356E-03,7.23665E-03,7.23565E-03,7.22375E-03,8.78983E-03,8.80675E-03,8.78675E-03,1.03604E-02,1.03475E-02,1.03631E-02,1.18064E-02,1.18549E-02,1.18352E-02,1.33520E-02,1.33448E-02,1.33359E-02
535,7.67883E-04,7.66642E-04,7.66432E-04,2.39818E-03,2.40380E-03,2.40156E-03,4.06060E-03,4.05568E-03,4.05697E-03,5.67860E-03,5.69064E-03,5.68298E-03,7.30022E-03,7.28383E-03,7.29537E-03,8.86831E-03,8.86413E-03,8.85299E-03,1.04045E-02,1.04210E-02,1.04268E-02,1.18855E-02,1.19466E-02,1.19026E-02,1.34090E-02,1.34359E-02,1.34331E-02
536,7.71741E-04,7.71655E-04,7.72056E-04,2.40927E-03,2.41509E-03,2.41575E-03,4.08529E-03,4.08361E-03,4.08257E-03,5.70636E-03,5.72485E-03,5.71771E-03,7.34883E-03,7.32791E-03,7.35598E-03,8.92472E-03,8.91049E-03,8.90575E-03,1.04556E-02,1.04729E-02,1.04779E-02,1.19773E-02,1.20202E-02,1.19798E-02,1.34752E-02,1.35184E-02,1.35189E-02
537,7.76637E-04,7.76681E-04,7.77828E-04,2.42330E-03,2.42741E-03,2.42744E-03,4.10747E-03,4.10947E-03,4.10993E-03,5.75070E-03,5.75515E-03,5.76321E-03,7.38618E-03,7.37533E-03,7.40095E-03,8.96256E-03,8.95610E-03,8.94994E-03,1.05330E-02,1.05167E-02,1.05315E-02,1.20853E-02,1.20822E-02,1.20757E-02,1.35733E-02,1.36075E-02,1.36036E-02
538,7.81426E-04,7.81421E-04,7.82677E-04,2.43759E-03,2.44074E-03,2.43946E-03,4.12902E-03,4.12952E-03,4.13163E-03,5.79254E-03,5.78377E-03,5.80187E-03,7.42161E-03,7.42060E-03,7.42929E-03,9.00386E-03,9.00327E-03,8.99039E-03,1.05987E-02,1.05658E-02,1.05837E-02,1.21753E-02,1.21328E-02,1.21597E-02,1.36704E-02,1.36954E-02,1.36807E-02
539,7.85657E-04,7.85797E-04,7.86335E-04,2.45142E-03,2.45566E-03,2.45443E-03,4.15230E-03,4.14559E-03,4.14741E-03,5.82278E-03,5.81404E-03,5.82760E-03,7.46360E-03,7.46256E-03,7.44936E-03,9.06268E-03,9.05658E-03,9.03656E-03,1.06381E-02,1.06315E-02,1.06367E-02,1.22343E-02,1.21806E-02,1.22208E-02,1.37503E-02,1.37781E-02,1.37534E-02
540,7.89511E-04,7.89127E-04,7.89224E-04,2.46549E-03,2.47072E-03,2.47069E-03,4.17465E-03,4.16560E-03,4.16738E-03,5.84865E-03,5.84309E-03,5.85314E-03,7.50700E-03,7.49981E-03,7.47766E-03,9.12022E-03,9.11303E-03,9.09425E-03,1.06770E-02,1.07045E-02,1.06926E-02,1.22812E-02,1.22348E-02,1.22754E-02,1.38193E-02,1.38432E-02,1.38268E-02
541,7.92374E-04,7.90368E-04,7.91110E-04,2.47779E-03,2.48188E-03,2.48360E-03,4.18971E-03,4.19012E-03,4.19402E-03,5.87140E-03,5.86319E-03,5.88230E-03,7.53860E-03,7.52467E-03,7.51723E-03,9.15173E-03,9.15959E-03,9.15420E-03,1.07270E-02,1.07631E-02,1.07407E-02,1.23215E-02,1.22883E-02,1.23253E-02,1.38712E-02,1.38713E-02,1.38892E-02
542,7.96162E-04,7.93175E-04,7.94726E-04,2.49364E-03,2.49450E-03,2.49769E-03,4.21026E-03,4.21948E-03,4.22664E-03,5.90467E-03,5.89429E-03,5.91902E-03,7.57693E-03,7.56101E-03,7.57092E-03,9.19321E-03,9.21643E-03,9.21937E-03,1.08035E-02,1.08281E-02,1.08001E-02,1.23848E-02,1.23635E-02,1.23928E-02,1.39425E-02,1.39254E-02,1.39658E-02
543,7.99774E-04,7.98250E-04,7.99638E-04,2.50890E-03,2.50509E-03,2.50877E-03,4.23368E-03,4.23735E-03,4.24695E-03,5.93849E-03,5.93402E-03,5.94318E-03,7.61372E-03,7.60425E-03,7.61062E-03,9.24957E-03,9.26976E-03,9.25848E-03,1.08755E-02,1.08824E-02,1.08502E-02,1.24498E-02,1.24349E-02,1.24513E-02,1.40164E-02,1.40156E-02,1.40299E-02
544,8.04226E-04,8.05255E-04,8.05757E-04,2.52671E-03,2.51807E-03,2.52228E-03,4.26305E-03,4.25559E-03,4.26393E-03,5.98006E-03,5.98149E-03,5.96918E-03,7.66115E-03,7.65886E-03,7.65184E-03,9.32451E-03,9.33026E-03,9.29708E-03,1.09496E-02,1.09442E-02,1.09143E-02,1.25251E-02,1.25195E-02,1.25221E-02,1.41111E-02,1.41310E-02,1.41080E-02
545,8.08787E-04,8.10977E-04,8.10647E-04,2.54493E-03,2.53287E-03,2.53904E-03,4.29023E-03,4.28275E-03,4.28341E-03,6.02404E-03,6.01805E-03,6.00505E-03,7.71445E-03,7.70884E-03,7.70205E-03,9.39192E-03,9.38827E-03,9.35197E-03,1.10134E-02,1.10101E-02,1.09963E-02,1.25914E-02,1.26105E-02,1.26045E-02,1.42130E-02,1.42103E-02,1.42012E-02
546,8.13740E-04,8.15521E-04,8.14620E-04,2.56290E-03,2.55057E-03,2.55839E-03,4.31660E-03,4.31829E-03,4.30958E-03,6.06974E-03,6.04723E-03,6.05099E-03,7.77232E-03,7.75785E-03,7.76262E-03,9.45096E-03,9.44492E-03,9.42665E-03,1.10783E-02,1.10834E-02,1.10903E-02,1.26596E-02,1.27090E-02,1.26956E-02,1.43172E-02,1.42695E-02,1.43071E-02
547,8.19096E-04,8.20308E-04,8.18912E-04,2.57804E-03,2.57037E-03,2.57562E-03,4.34500E-03,4.35041E-03,4.34030E-03,6.11251E-03,6.08056E-03,6.09475E-03,7.82682E-03,7.81363E-03,7.82154E-03,9.50715E-03,9.49772E-03,9.50419E-03,1.11587E-02,1.11592E-02,1.11708E-02,1.27459E-02,1.28063E-02,1.27769E-02,1.44091E-02,1.43601E-02,1.44046E-02
548,8.24499E-04,8.25746E-04,8.24153E-04,2.59036E-03,2.59104E-03,2.58977E-03,4.37547E-03,4.37554E-03,4.37326E-03,6.14869E-03,6.12214E-03,6.13307E-03,7.87584E-03,7.87517E-03,7.87375E-03,9.56529E-03,9.55043E-03,9.57479E-03,1.12490E-02,1.12351E-02,1.12349E-02,1.28527E-02,1.28961E-02,1.28508E-02,1.44885E-02,1.44922E-02,1.44888E-02
549,8.29569E-04,8.31427E-04,8.30614E-04,2.60398E-03,2.61207E-03,2.60537E-03,4.40689E-03,4.40182E-03,4.40812E-03,6.17867E-03,6.17002E-03,6.17595E-03,7.92757E-03,7.93493E-03,7.92597E-03,9.63338E-03,9.61816E-03,9.64167E-03,1.13265E-02,1.13168E-02,1.13103E-02,1.29730E-02,1.29809E-02,1.29489E-02,1.45785E-02,1.46349E-02,1.45810E-02
