x,0.4688,0.4687,0.4687,0.4738,0.4738,0.4737,0.4741,0.4742,0.474,0.474,0.4741,0.4741,0.474,0.474,0.474,0.4737,0.4738,0.4738,0.4737,0.4736,0.4735,0.4732,0.4733,0.4733,0.4731,0.4731,0.4731
y,0.4202,0.4202,0.4202,0.4228,0.4229,0.4228,0.4231,0.4233,0.4231,0.4232,0.4232,0.4233,0.4232,0.4233,0.4233,0.4232,0.4232,0.4232,0.4232,0.4231,0.4231,0.423,0.4229,0.423,0.4229,0.4229,0.4229
Wavelength [nm],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)],Spectral Radiance [W/(sr*sqm*nm)]
570,1.03668E-03,1.03772E-03,1.03988E-03,3.27953E-03,3.27264E-03,3.28099E-03,5.55010E-03,5.55190E-03,5.54653E-03,7.78922E-03,7.79090E-03,7.80382E-03,9.97382E-03,9.99589E-03,9.98908E-03,1.21517E-02,1.21371E-02,1.21536E-02,1.42657E-02,1.42323E-02,1.42714E-02,1.63819E-02,1.63722E-02,1.63836E-02,1.83866E-02,1.83943E-02,1.84205E-02
571,1.05095E-03,1.05364E-03,1.05385E-03,3.33020E-03,3.31800E-03,3.32271E-03,5.62326E-03,5.63174E-03,5.62436E-03,7.89593E-03,7.89910E-03,7.91335E-03,1.01063E-02,1.01255E-02,1.01299E-02,1.23291E-02,1.23075E-02,1.23186E-02,1.44748E-02,1.44514E-02,1.44780E-02,1.66121E-02,1.65970E-02,1.65960E-02,1.86506E-02,1.86535E-02,1.86650E-02
572,1.06635E-03,1.07063E-03,1.06780E-03,3.38377E-03,3.37086E-03,3.37299E-03,5.69602E-03,5.71940E-03,5.70350E-03,8.00214E-03,8.00802E-03,8.01548E-03,1.02467E-02,1.02468E-02,1.02826E-02,1.25137E-02,1.24780E-02,1.24766E-02,1.46821E-02,1.46838E-02,1.46783E-02,1.68442E-02,1.68145E-02,1.68017E-02,1.89346E-02,1.89336E-02,1.89272E-02
573,1.08171E-03,1.08508E-03,1.08143E-03,3.43213E-03,3.42124E-03,3.42776E-03,5.77321E-03,5.79732E-03,5.78646E-03,8.11400E-03,8.11863E-03,8.12313E-03,1.03923E-02,1.03879E-02,1.04341E-02,1.26770E-02,1.26646E-02,1.26538E-02,1.48764E-02,1.48960E-02,1.48843E-02,1.70607E-02,1.70427E-02,1.70314E-02,1.91992E-02,1.92242E-02,1.91957E-02
574,1.09671E-03,1.09724E-03,1.09540E-03,3.47546E-03,3.46694E-03,3.48353E-03,5.85793E-03,5.86670E-03,5.87382E-03,8.23467E-03,8.23410E-03,8.24007E-03,1.05452E-02,1.05545E-02,1.05803E-02,1.28265E-02,1.28673E-02,1.28545E-02,1.50654E-02,1.50893E-02,1.51006E-02,1.72708E-02,1.72939E-02,1.72926E-02,1.94513E-02,1.95156E-02,1.94700E-02
575,1.11070E-03,1.11027E-03,1.11006E-03,3.51906E-03,3.51041E-03,3.53356E-03,5.94432E-03,5.94265E-03,5.95700E-03,8.35410E-03,8.35009E-03,8.34987E-03,1.07008E-02,1.07145E-02,1.07152E-02,1.29944E-02,1.30519E-02,1.30432E-02,1.52591E-02,1.52857E-02,1.53053E-02,1.74923E-02,1.75523E-02,1.75462E-02,1.97261E-02,1.97762E-02,1.97392E-02
576,1.12504E-03,1.12652E-03,1.12649E-03,3.56893E-03,3.55809E-03,3.57892E-03,6.03354E-03,6.03633E-03,6.03846E-03,8.47511E-03,8.47266E-03,8.45683E-03,1.08646E-02,1.08643E-02,1.08526E-02,1.32014E-02,1.32194E-02,1.32181E-02,1.54774E-02,1.55076E-02,1.55045E-02,1.77468E-02,1.78196E-02,1.77901E-02,2.00455E-02,2.00233E-02,2.00193E-02
577,1.14002E-03,1.14236E-03,1.14266E-03,3.61800E-03,3.60869E-03,3.61981E-03,6.11560E-03,6.12794E-03,6.11601E-03,8.58974E-03,8.59255E-03,8.56777E-03,1.10172E-02,1.10076E-02,1.09975E-02,1.33970E-02,1.33787E-02,1.33839E-02,1.56964E-02,1.57162E-02,1.56924E-02,1.79940E-02,1.80589E-02,1.80177E-02,2.03298E-02,2.02774E-02,2.02929E-02
578,1.15667E-03,1.15678E-03,1.15826E-03,3.66597E-03,3.66387E-03,3.66263E-03,6.19298E-03,6.21095E-03,6.19604E-03,8.70407E-03,8.71237E-03,8.69482E-03,1.11600E-02,1.11587E-02,1.11607E-02,1.35643E-02,1.35531E-02,1.35591E-02,1.59140E-02,1.59078E-02,1.58879E-02,1.82286E-02,1.82731E-02,1.82492E-02,2.05591E-02,2.05696E-02,2.05707E-02
579,1.17263E-03,1.17078E-03,1.17242E-03,3.71442E-03,3.71677E-03,3.71131E-03,6.27129E-03,6.28831E-03,6.27724E-03,8.81908E-03,8.82552E-03,8.82134E-03,1.12983E-02,1.13017E-02,1.13181E-02,1.37193E-02,1.37344E-02,1.37289E-02,1.61163E-02,1.61002E-02,1.60970E-02,1.84575E-02,1.84833E-02,1.84845E-02,2.07819E-02,2.08569E-02,2.08398E-02
580,1.18724E-03,1.18634E-03,1.18599E-03,3.76777E-03,3.76592E-03,3.77010E-03,6.36012E-03,6.37023E-03,6.36410E-03,8.94238E-03,8.93578E-03,8.94092E-03,1.14479E-02,1.14370E-02,1.14613E-02,1.38934E-02,1.39250E-02,1.38961E-02,1.63122E-02,1.63240E-02,1.63354E-02,1.87050E-02,1.87252E-02,1.87367E-02,2.10612E-02,2.11235E-02,2.11101E-02
581,1.20146E-03,1.20175E-03,1.20020E-03,3.82043E-03,3.81417E-03,3.82655E-03,6.44926E-03,6.45536E-03,6.45318E-03,9.06212E-03,9.04286E-03,9.05277E-03,1.16020E-02,1.15798E-02,1.15981E-02,1.40831E-02,1.41118E-02,1.40705E-02,1.65154E-02,1.65594E-02,1.65763E-02,1.89537E-02,1.89805E-02,1.89816E-02,2.13670E-02,2.13815E-02,2.13763E-02
582,1.21533E-03,1.21418E-03,1.21495E-03,3.86325E-03,3.86139E-03,3.86549E-03,6.52224E-03,6.53444E-03,6.53441E-03,9.15883E-03,9.13981E-03,9.15083E-03,1.17405E-02,1.17328E-02,1.17288E-02,1.42661E-02,1.42710E-02,1.42482E-02,1.67229E-02,1.67662E-02,1.67763E-02,1.91677E-02,1.92081E-02,1.91804E-02,2.16387E-02,2.16271E-02,2.16144E-02
583,1.22994E-03,1.22709E-03,1.23039E-03,3.90535E-03,3.91172E-03,3.90236E-03,6.59543E-03,6.61259E-03,6.61496E-03,9.25524E-03,9.24815E-03,9.25402E-03,1.18784E-02,1.18940E-02,1.18711E-02,1.44520E-02,1.44344E-02,1.44357E-02,1.69472E-02,1.69652E-02,1.69660E-02,1.93842E-02,1.94328E-02,1.93856E-02,2.19017E-02,2.18830E-02,2.18608E-02
584,1.24394E-03,1.24253E-03,1.24415E-03,3.95159E-03,3.96163E-03,3.95078E-03,6.67800E-03,6.68493E-03,6.69213E-03,9.36339E-03,9.37385E-03,9.36618E-03,1.20138E-02,1.20356E-02,1.20199E-02,1.46281E-02,1.46141E-02,1.46115E-02,1.71670E-02,1.71573E-02,1.71575E-02,1.96155E-02,1.96547E-02,1.96259E-02,2.21561E-02,2.21307E-02,2.21181E-02
585,1.25696E-03,1.25851E-03,1.25633E-03,4.00011E-03,4.00906E-03,4.00601E-03,6.76299E-03,6.75453E-03,6.76540E-03,9.47809E-03,9.50169E-03,9.48209E-03,1.21492E-02,1.21595E-02,1.21655E-02,1.47925E-02,1.47963E-02,1.47756E-02,1.73713E-02,1.73475E-02,1.73489E-02,1.98556E-02,1.98746E-02,1.98737E-02,2.23919E-02,2.23705E-02,2.23797E-02
586,1.26933E-03,1.27179E-03,1.26836E-03,4.04707E-03,4.05350E-03,4.05641E-03,6.83867E-03,6.82893E-03,6.83672E-03,9.58902E-03,9.61071E-03,9.59488E-03,1.22907E-02,1.22835E-02,1.23002E-02,1.49514E-02,1.49607E-02,1.49397E-02,1.75583E-02,1.75453E-02,1.75364E-02,2.00941E-02,2.00971E-02,2.00847E-02,2.26026E-02,2.26156E-02,2.26394E-02
587,1.28182E-03,1.28331E-03,1.28104E-03,4.09277E-03,4.09586E-03,4.10024E-03,6.90942E-03,6.90904E-03,6.90933E-03,9.69750E-03,9.70646E-03,9.70483E-03,1.24384E-02,1.24177E-02,1.24288E-02,1.51136E-02,1.51146E-02,1.51060E-02,1.77374E-02,1.77491E-02,1.77230E-02,2.03243E-02,2.03215E-02,2.02748E-02,2.28187E-02,2.28740E-02,2.28938E-02
588,1.29453E-03,1.29570E-03,1.29388E-03,4.13727E-03,4.13517E-03,4.13936E-03,6.98464E-03,6.98686E-03,6.98245E-03,9.80527E-03,9.80416E-03,9.81014E-03,1.25802E-02,1.25585E-02,1.25558E-02,1.52787E-02,1.52721E-02,1.52600E-02,1.79126E-02,1.79381E-02,1.79044E-02,2.05284E-02,2.05305E-02,2.04824E-02,2.30761E-02,2.31344E-02,2.31266E-02
589,1.30778E-03,1.30914E-03,1.30678E-03,4.18116E-03,4.17318E-03,4.17818E-03,7.06487E-03,7.06081E-03,7.05688E-03,9.91007E-03,9.90889E-03,9.91245E-03,1.27101E-02,1.26987E-02,1.26845E-02,1.54415E-02,1.54342E-02,1.54046E-02,1.80910E-02,1.81109E-02,1.80832E-02,2.07169E-02,2.07306E-02,2.07121E-02,2.33596E-02,2.33862E-02,2.33448E-02
590,1.32283E-03,1.32248E-03,1.32076E-03,4.22797E-03,4.21650E-03,4.22558E-03,7.14717E-03,7.13921E-03,7.13899E-03,1.00124E-02,1.00226E-02,1.00223E-02,1.28361E-02,1.28361E-02,1.28247E-02,1.56026E-02,1.55996E-02,1.55670E-02,1.82926E-02,1.82935E-02,1.82787E-02,2.09361E-02,2.09615E-02,2.09517E-02,2.36250E-02,2.36348E-02,2.35894E-02
591,1.33862E-03,1.33511E-03,1.33540E-03,4.27515E-03,4.26445E-03,4.27902E-03,7.22506E-03,7.22014E-03,7.22360E-03,1.01117E-02,1.01361E-02,1.01346E-02,1.29571E-02,1.29632E-02,1.29700E-02,1.57551E-02,1.57588E-02,1.57442E-02,1.85022E-02,1.84833E-02,1.84848E-02,2.11795E-02,2.12122E-02,2.11801E-02,2.38526E-02,2.38681E-02,2.38539E-02
592,1.35217E-03,1.34790E-03,1.34928E-03,4.31546E-03,4.31009E-03,4.32482E-03,7.29239E-03,7.29351E-03,7.29604E-03,1.02121E-02,1.02333E-02,1.02312E-02,1.30690E-02,1.30738E-02,1.31020E-02,1.58926E-02,1.59020E-02,1.59055E-02,1.86743E-02,1.86539E-02,1.86752E-02,2.13898E-02,2.14239E-02,2.13798E-02,2.40673E-02,2.40672E-02,2.40878E-02
593,1.36324E-03,1.36163E-03,1.36208E-03,4.34958E-03,4.35169E-03,4.35979E-03,7.35280E-03,7.35971E-03,7.35644E-03,1.03176E-02,1.03150E-02,1.03128E-02,1.31815E-02,1.31775E-02,1.32177E-02,1.60277E-02,1.60360E-02,1.60464E-02,1.88099E-02,1.88091E-02,1.88477E-02,2.15599E-02,2.15929E-02,2.15622E-02,2.42958E-02,2.42486E-02,2.42862E-02
594,1.37362E-03,1.37426E-03,1.37279E-03,4.38321E-03,4.38836E-03,4.39043E-03,7.41178E-03,7.42296E-03,7.41578E-03,1.04120E-02,1.03900E-02,1.03910E-02,1.33014E-02,1.32844E-02,1.33158E-02,1.61725E-02,1.61639E-02,1.61760E-02,1.89536E-02,1.89679E-02,1.90056E-02,2.17279E-02,2.17686E-02,2.17444E-02,2.45182E-02,2.44395E-02,2.44754E-02
595,1.38427E-03,1.38447E-03,1.38135E-03,4.41963E-03,4.42039E-03,4.42161E-03,7.47115E-03,7.48457E-03,7.47881E-03,1.04865E-02,1.04657E-02,1.04721E-02,1.34258E-02,1.33973E-02,1.34026E-02,1.63251E-02,1.62873E-02,1.63013E-02,1.91244E-02,1.91369E-02,1.91489E-02,2.19103E-02,2.19699E-02,2.19314E-02,2.47140E-02,2.46493E-02,2.46676E-02
596,1.39459E-03,1.39381E-03,1.39059E-03,4.45794E-03,4.45249E-03,4.45483E-03,7.52790E-03,7.54233E-03,7.53802E-03,1.05572E-02,1.05491E-02,1.05525E-02,1.35362E-02,1.35099E-02,1.35081E-02,1.64613E-02,1.64129E-02,1.64301E-02,1.92874E-02,1.93009E-02,1.92793E-02,2.20769E-02,2.21508E-02,2.21101E-02,2.48829E-02,2.48574E-02,2.48507E-02
597,1.40446E-03,1.40403E-03,1.40251E-03,4.49733E-03,4.48907E-03,4.49092E-03,7.58266E-03,7.59714E-03,7.59095E-03,1.06392E-02,1.06437E-02,1.06326E-02,1.36277E-02,1.36204E-02,1.36483E-02,1.65715E-02,1.65480E-02,1.65693E-02,1.94226E-02,1.94520E-02,1.94065E-02,2.22142E-02,2.22868E-02,2.22763E-02,2.50383E-02,2.50541E-02,2.50244E-02
598,1.41299E-03,1.41390E-03,1.41301E-03,4.53064E-03,4.52362E-03,4.52175E-03,7.63439E-03,7.64604E-03,7.64020E-03,1.07154E-02,1.07232E-02,1.07082E-02,1.37136E-02,1.37184E-02,1.37661E-02,1.66656E-02,1.66705E-02,1.66923E-02,1.95375E-02,1.95757E-02,1.95279E-02,2.23326E-02,2.24002E-02,2.24164E-02,2.51800E-02,2.52270E-02,2.51863E-02
599,1.42050E-03,1.42288E-03,1.41955E-03,4.55488E-03,4.55206E-03,4.54379E-03,7.68610E-03,7.69100E-03,7.69202E-03,1.07761E-02,1.07730E-02,1.07805E-02,1.38125E-02,1.38035E-02,1.38222E-02,1.67637E-02,1.67722E-02,1.67863E-02,1.96533E-02,1.96746E-02,1.96507E-02,2.24590E-02,2.25262E-02,2.25347E-02,2.53223E-02,2.53823E-02,2.53470E-02
600,1.42840E-03,1.43140E-03,1.42611E-03,4.57536E-03,4.57493E-03,4.56531E-03,7.73612E-03,7.73428E-03,7.74174E-03,1.08347E-02,1.08168E-02,1.08451E-02,1.39113E-02,1.38843E-02,1.38628E-02,1.68649E-02,1.68726E-02,1.68695E-02,1.97700E-02,1.97693E-02,1.97753E-02,2.26046E-02,2.26545E-02,2.26492E-02,2.54733E-02,2.55305E-02,2.54992E-02
601,1.43768E-03,1.43976E-03,1.43662E-03,4.59791E-03,4.59414E-03,4.59455E-03,7.78139E-03,7.77721E-03,7.78288E-03,1.09044E-02,1.08800E-02,1.08976E-02,1.39918E-02,1.39673E-02,1.39396E-02,1.69625E-02,1.69886E-02,1.69607E-02,1.98827E-02,1.98781E-02,1.98980E-02,2.27704E-02,2.27665E-02,2.27748E-02,2.56344E-02,2.56775E-02,2.56328E-02
602,1.44612E-03,1.44709E-03,1.44712E-03,4.62178E-03,4.61449E-03,4.62581E-03,7.81995E-03,7.81848E-03,7.81621E-03,1.09736E-02,1.09506E-02,1.09458E-02,1.40527E-02,1.40452E-02,1.40301E-02,1.70519E-02,1.70933E-02,1.70481E-02,1.99948E-02,1.99902E-02,2.00104E-02,2.29307E-02,2.28691E-02,2.28999E-02,2.57879E-02,2.58067E-02,2.57567E-02
603,1.45061E-03,1.45183E-03,1.45160E-03,4.64256E-03,4.63887E-03,4.64859E-03,7.84816E-03,7.85316E-03,7.84215E-03,1.10217E-02,1.10037E-02,1.09953E-02,1.40947E-02,1.41036E-02,1.40888E-02,1.71234E-02,1.71463E-02,1.71079E-02,2.01013E-02,2.00809E-02,2.00962E-02,2.30454E-02,2.29663E-02,2.29984E-02,2.59028E-02,2.58901E-02,2.58733E-02
604,1.45418E-03,1.45574E-03,1.45351E-03,4.66206E-03,4.66688E-03,4.66794E-03,7.87698E-03,7.88570E-03,7.87070E-03,1.10609E-02,1.10465E-02,1.10477E-02,1.41427E-02,1.41632E-02,1.41300E-02,1.71890E-02,1.71780E-02,1.71659E-02,2.01939E-02,2.01647E-02,2.01711E-02,2.31165E-02,2.30682E-02,2.30852E-02,2.59966E-02,2.59630E-02,2.59941E-02
605,1.45890E-03,1.45877E-03,1.45662E-03,4.67512E-03,4.68731E-03,4.68483E-03,7.90561E-03,7.90785E-03,7.89848E-03,1.10925E-02,1.10761E-02,1.10811E-02,1.41983E-02,1.42260E-02,1.41618E-02,1.72341E-02,1.72101E-02,1.72288E-02,2.02266E-02,2.02296E-02,2.02219E-02,2.31209E-02,2.31400E-02,2.31436E-02,2.60523E-02,2.60288E-02,2.60799E-02
606,1.46488E-03,1.46215E-03,1.46163E-03,4.68686E-03,4.70116E-03,4.70050E-03,7.93453E-03,7.92470E-03,7.92793E-03,1.11217E-02,1.11021E-02,1.11046E-02,1.42569E-02,1.42822E-02,1.42019E-02,1.72755E-02,1.72661E-02,1.72946E-02,2.02424E-02,2.02888E-02,2.02668E-02,2.31238E-02,2.31953E-02,2.31875E-02,2.60984E-02,2.60980E-02,2.61425E-02
607,1.46998E-03,1.46645E-03,1.46642E-03,4.70324E-03,4.71185E-03,4.71253E-03,7.95844E-03,7.94154E-03,7.95753E-03,1.11462E-02,1.11307E-02,1.11337E-02,1.42991E-02,1.43066E-02,1.42591E-02,1.73301E-02,1.73524E-02,1.73438E-02,2.03083E-02,2.03501E-02,2.03221E-02,2.32085E-02,2.32526E-02,2.32280E-02,2.61624E-02,2.61629E-02,2.61974E-02
608,1.47398E-03,1.47140E-03,1.47067E-03,4.72273E-03,4.72184E-03,4.72287E-03,7.97781E-03,7.96332E-03,7.98401E-03,1.11730E-02,1.11651E-02,1.11719E-02,1.43248E-02,1.43132E-02,1.43259E-02,1.73906E-02,1.74414E-02,1.73793E-02,2.04107E-02,2.04114E-02,2.03882E-02,2.33444E-02,2.33202E-02,2.32833E-02,2.62430E-02,2.62273E-02,2.62526E-02
609,1.47695E-03,1.47517E-03,1.47427E-03,4.73588E-03,4.72983E-03,4.73311E-03,7.99180E-03,7.98917E-03,7.99811E-03,1.12062E-02,1.11991E-02,1.12074E-02,1.43376E-02,1.43320E-02,1.43752E-02,1.74234E-02,1.74739E-02,1.74076E-02,2.04717E-02,2.04512E-02,2.04419E-02,2.34132E-02,2.33843E-02,2.33591E-02,2.63031E-02,2.62850E-02,2.62940E-02
610,1.47846E-03,1.47690E-03,1.47682E-03,4.73909E-03,4.73452E-03,4.74177E-03,8.00113E-03,8.01216E-03,7.99979E-03,1.12353E-02,1.12223E-02,1.12310E-02,1.43440E-02,1.43615E-02,1.43926E-02,1.74278E-02,1.74561E-02,1.74256E-02,2.04771E-02,2.04652E-02,2.04730E-02,2.33988E-02,2.34297E-02,2.34295E-02,2.63285E-02,2.63232E-02,2.63156E-02
611,1.47801E-03,1.47689E-03,1.47798E-03,4.73506E-03,4.73586E-03,4.74599E-03,8.00940E-03,8.02267E-03,7.99854E-03,1.12407E-02,1.12248E-02,1.12389E-02,1.43553E-02,1.43778E-02,1.43787E-02,1.74337E-02,1.74521E-02,1.74266E-02,2.04717E-02,2.04683E-02,2.04872E-02,2.33761E-02,2.34471E-02,2.34498E-02,2.63303E-02,2.63297E-02,2.63246E-02
612,1.47546E-03,1.47549E-03,1.47736E-03,4.72889E-03,4.73403E-03,4.74409E-03,8.01251E-03,8.01767E-03,7.99555E-03,1.12221E-02,1.12069E-02,1.12293E-02,1.43634E-02,1.43690E-02,1.43456E-02,1.74390E-02,1.74693E-02,1.74130E-02,2.04663E-02,2.04572E-02,2.04778E-02,2.33672E-02,2.34311E-02,2.34141E-02,2.63099E-02,2.62985E-02,2.63203E-02
613,1.47146E-03,1.47351E-03,1.47500E-03,4.72905E-03,4.73074E-03,4.73702E-03,8.00090E-03,8.00324E-03,7.98577E-03,1.12023E-02,1.11827E-02,1.12060E-02,1.43448E-02,1.43411E-02,1.43203E-02,1.74129E-02,1.74620E-02,1.74009E-02,2.04416E-02,2.04166E-02,2.04321E-02,2.33454E-02,2.33874E-02,2.33634E-02,2.62655E-02,2.62369E-02,2.63009E-02
614,1.46795E-03,1.47206E-03,1.47215E-03,4.73600E-03,4.72779E-03,4.72887E-03,7.97966E-03,7.98800E-03,7.97307E-03,1.11952E-02,1.11667E-02,1.11809E-02,1.43089E-02,1.43126E-02,1.43178E-02,1.73636E-02,1.74231E-02,1.73971E-02,2.04043E-02,2.03671E-02,2.03718E-02,2.33178E-02,2.33429E-02,2.33327E-02,2.62248E-02,2.61765E-02,2.62760E-02
615,1.46576E-03,1.47001E-03,1.46899E-03,4.73154E-03,4.71861E-03,4.71899E-03,7.95814E-03,7.96893E-03,7.95845E-03,1.11820E-02,1.11528E-02,1.11556E-02,1.42814E-02,1.42910E-02,1.43110E-02,1.73184E-02,1.73659E-02,1.73653E-02,2.03586E-02,2.03387E-02,2.03251E-02,2.32944E-02,2.33080E-02,2.33053E-02,2.62053E-02,2.61309E-02,2.62227E-02
616,1.46425E-03,1.46664E-03,1.46585E-03,4.71088E-03,4.70259E-03,4.70746E-03,7.94201E-03,7.94668E-03,7.94450E-03,1.11537E-02,1.11379E-02,1.11309E-02,1.42710E-02,1.42734E-02,1.42844E-02,1.72925E-02,1.73089E-02,1.73015E-02,2.03091E-02,2.03317E-02,2.03000E-02,2.32718E-02,2.32771E-02,2.32686E-02,2.61958E-02,2.61030E-02,2.61431E-02
617,1.45968E-03,1.46105E-03,1.46236E-03,4.68811E-03,4.68575E-03,4.69264E-03,7.92528E-03,7.92297E-03,7.93077E-03,1.11120E-02,1.11176E-02,1.10992E-02,1.42487E-02,1.42322E-02,1.42338E-02,1.72692E-02,1.72648E-02,1.72432E-02,2.02458E-02,2.02871E-02,2.02582E-02,2.32102E-02,2.32059E-02,2.32052E-02,2.61255E-02,2.60625E-02,2.60611E-02
618,1.45253E-03,1.45475E-03,1.45923E-03,4.67575E-03,4.67572E-03,4.67921E-03,7.90949E-03,7.90451E-03,7.92067E-03,1.10733E-02,1.10968E-02,1.10684E-02,1.42117E-02,1.41716E-02,1.41780E-02,1.72441E-02,1.72450E-02,1.72203E-02,2.01822E-02,2.02000E-02,2.01975E-02,2.31184E-02,2.31051E-02,2.31314E-02,2.59967E-02,2.60083E-02,2.60068E-02
619,1.44638E-03,1.44847E-03,1.45419E-03,4.66416E-03,4.66560E-03,4.66723E-03,7.88396E-03,7.87928E-03,7.89725E-03,1.10395E-02,1.10589E-02,1.10361E-02,1.41604E-02,1.41088E-02,1.41252E-02,1.71795E-02,1.72006E-02,1.71828E-02,2.01051E-02,2.01026E-02,2.01165E-02,2.30189E-02,2.30092E-02,2.30455E-02,2.58642E-02,2.59071E-02,2.59264E-02
620,1.44309E-03,1.44293E-03,1.44656E-03,4.64685E-03,4.65051E-03,4.65543E-03,7.84679E-03,7.84301E-03,7.85605E-03,1.10110E-02,1.10026E-02,1.10001E-02,1.41013E-02,1.40569E-02,1.40788E-02,1.70691E-02,1.71100E-02,1.71039E-02,2.00161E-02,2.00253E-02,2.00257E-02,2.29280E-02,2.29394E-02,2.29499E-02,2.57677E-02,2.57607E-02,2.57986E-02
621,1.43885E-03,1.43784E-03,1.43880E-03,4.62589E-03,4.62986E-03,4.63725E-03,7.81206E-03,7.80676E-03,7.81855E-03,1.09783E-02,1.09557E-02,1.09522E-02,1.40413E-02,1.40061E-02,1.40228E-02,1.69691E-02,1.70135E-02,1.70137E-02,1.99396E-02,1.99696E-02,1.99447E-02,2.28279E-02,2.28621E-02,2.28443E-02,2.56802E-02,2.56361E-02,2.56733E-02
622,1.42849E-03,1.42975E-03,1.42985E-03,4.59503E-03,4.59648E-03,4.60087E-03,7.77261E-03,7.76292E-03,7.78123E-03,1.09122E-02,1.09104E-02,1.08707E-02,1.39556E-02,1.39213E-02,1.39216E-02,1.68838E-02,1.69100E-02,1.69036E-02,1.98461E-02,1.98824E-02,1.98435E-02,2.26646E-02,2.27095E-02,2.26849E-02,2.55273E-02,2.55196E-02,2.55292E-02
623,1.41770E-03,1.41985E-03,1.42102E-03,4.56374E-03,4.56471E-03,4.56280E-03,7.72874E-03,7.71809E-03,7.73502E-03,1.08312E-02,1.08511E-02,1.07955E-02,1.38581E-02,1.38302E-02,1.38183E-02,1.68091E-02,1.68172E-02,1.67931E-02,1.97322E-02,1.97534E-02,1.97341E-02,2.25008E-02,2.25422E-02,2.25158E-02,2.53564E-02,2.53892E-02,2.53603E-02
624,1.41059E-03,1.40934E-03,1.41275E-03,4.53776E-03,4.54327E-03,4.53500E-03,7.67851E-03,7.67441E-03,7.67324E-03,1.07506E-02,1.07655E-02,1.07509E-02,1.37605E-02,1.37508E-02,1.37435E-02,1.67290E-02,1.67364E-02,1.66923E-02,1.95957E-02,1.95825E-02,1.96191E-02,2.23777E-02,2.24046E-02,2.23672E-02,2.52022E-02,2.52227E-02,2.51639E-02
625,1.40343E-03,1.39918E-03,1.40393E-03,4.51091E-03,4.52040E-03,4.50919E-03,7.62110E-03,7.62522E-03,7.61067E-03,1.06708E-02,1.06725E-02,1.07015E-02,1.36705E-02,1.36633E-02,1.36740E-02,1.66217E-02,1.66344E-02,1.65941E-02,1.94536E-02,1.94097E-02,1.94828E-02,2.22512E-02,2.22656E-02,2.22209E-02,2.50414E-02,2.50386E-02,2.49784E-02
626,1.39443E-03,1.39172E-03,1.39541E-03,4.48297E-03,4.49134E-03,4.48251E-03,7.56766E-03,7.57553E-03,7.56965E-03,1.06036E-02,1.06047E-02,1.06296E-02,1.36069E-02,1.35689E-02,1.36032E-02,1.64989E-02,1.65094E-02,1.65114E-02,1.93443E-02,1.92939E-02,1.93402E-02,2.21105E-02,2.21241E-02,2.20875E-02,2.48842E-02,2.48892E-02,2.48604E-02
627,1.38367E-03,1.38413E-03,1.38595E-03,4.44998E-03,4.45721E-03,4.45233E-03,7.51563E-03,7.52224E-03,7.52973E-03,1.05343E-02,1.05472E-02,1.05421E-02,1.35315E-02,1.34698E-02,1.35203E-02,1.63763E-02,1.63743E-02,1.64193E-02,1.92273E-02,1.91919E-02,1.91867E-02,2.19598E-02,2.19727E-02,2.19522E-02,2.47178E-02,2.47388E-02,2.47238E-02
628,1.37097E-03,1.37286E-03,1.37372E-03,4.40726E-03,4.41766E-03,4.41443E-03,7.45647E-03,7.45764E-03,7.46512E-03,1.04425E-02,1.04735E-02,1.04444E-02,1.34032E-02,1.33608E-02,1.34097E-02,1.62547E-02,1.62332E-02,1.62839E-02,1.90516E-02,1.90425E-02,1.90078E-02,2.17910E-02,2.17930E-02,2.17863E-02,2.45158E-02,2.45328E-02,2.44756E-02
629,1.35950E-03,1.36223E-03,1.36245E-03,4.36998E-03,4.38072E-03,4.37759E-03,7.40260E-03,7.39557E-03,7.40036E-03,1.03569E-02,1.03998E-02,1.03593E-02,1.32797E-02,1.32642E-02,1.32990E-02,1.61406E-02,1.61132E-02,1.61426E-02,1.88812E-02,1.88868E-02,1.88500E-02,2.16283E-02,2.16222E-02,2.16242E-02,2.43249E-02,2.43310E-02,2.42344E-02
