frequency_Hz,modulationDepth_M,lowerCI_M,upperCI_M
80,59.38053097,49.73451327,69.02654867
160,39.91150442,28.67256637,51.23893805
300,23.53982301,17.43362832,29.73451327
600,23.36283186,14.24778761,32.56637168
900,27.07964602,18.05309735,36.10619469
1200,46.19469027,27.07964602,65.30973451
