frequency_Hz,modulationDepth_M,q25_M,q75_M,min_M,max_M
400,27.51572327,20.91194969,39.77987421,15.72327044,56.13207547
1200,33.96226415,21.3836478,45.75471698,10.06289308,80.81761006
2000,81.13207547,56.28930818,91.98113208,21.85534591,98.42767296
3000,93.55345912,88.83647799,97.01257862,77.51572327,98.58490566
4000,96.06918239,94.18238994,97.95597484,90.25157233,98.27044025
5000,97.16981132,94.81132075,97.64150943,94.49685535,98.27044025
